idx,path,label,obj_score_ratio,obj_score_z,obj_energy_ratio,obj_shift_ratio,obj_diff_ratio,obj_peak_time
0,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00003.mp4,1,1483991.75,1483.9908447265625,36360488.0,33134176.0,68183.9921875,4.666666507720947
1,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00004.mp4,1,907.8310546875,496.6296081542969,301.3238830566406,19.468095779418945,8.389808654785156,5.866666793823242
2,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00005.mp4,1,563.5584106445312,60.95504379272461,826.1268920898438,23.85114288330078,29.37433624267578,4.313725471496582
3,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00006.mp4,1,147.5295867919922,47.23532485961914,171.62689208984375,39.78545379638672,16.184682846069336,3.066666603088379
4,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00007.mp4,0,180.47181701660156,40.988372802734375,256.07354736328125,25.0242977142334,4.561338901519775,2.133333444595337
5,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00008.mp4,1,704152.6875,429.0115051269531,34850572.0,7531225.5,19059.958984375,4.666666507720947
6,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00010.mp4,0,113766.6640625,1879.3927001953125,1042.5140380859375,3044.451171875,5.6669697761535645,3.7333333492279053
7,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00013.mp4,1,4647.37646484375,5.185939311981201,3280.285400390625,55.382652282714844,76.41896057128906,4.266666889190674
8,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00014.mp4,1,18346.720703125,78.02899932861328,383.1103820800781,31.283414840698242,59.782649993896484,2.133333444595337
9,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00015.mp4,1,13123.9970703125,2174.603271484375,587.9993286132812,33.65054702758789,8.264538764953613,5.199999809265137
10,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00017.mp4,1,6331.7841796875,22.77275848388672,3512.837158203125,5538.642578125,25.386873245239258,7.599999904632568
11,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00018.mp4,1,48.08293151855469,38.34388732910156,28.248111724853516,18.596656799316406,8.708619117736816,4.0
12,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00019.mp4,1,1144.14453125,177.5899200439453,5877.0927734375,288.00701904296875,386.2965087890625,6.274509906768799
13,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00021.mp4,1,978.1026611328125,439.03546142578125,7483.1416015625,27.084983825683594,795.404052734375,5.066666603088379
14,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00023.mp4,1,3232.267333984375,1225.8905029296875,3129.650634765625,196.54100036621094,225.48587036132812,6.266666889190674
15,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00024.mp4,0,124.51439666748047,21.451126098632812,299.1051025390625,79.4079818725586,26.848539352416992,5.333333492279053
16,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00027.mp4,0,517.8446044921875,61.37535095214844,3233.995849609375,16.61157989501953,84.09471130371094,4.133333206176758
17,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00032.mp4,1,58501900.0,137.26797485351562,25971566.0,57892164.0,26712.80859375,5.199999809265137
18,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00037.mp4,1,19.128969192504883,4.332165718078613,8.407037734985352,12.877030372619629,5.3179731369018555,4.800000190734863
19,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00040.mp4,1,1996.8592529296875,299.9143371582031,3625.17138671875,16.711267471313477,458.41656494140625,3.066666603088379
20,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00041.mp4,1,695.8766479492188,23.167142868041992,689.9554443359375,45.612369537353516,31.9010009765625,4.666666507720947
21,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00042.mp4,1,300.8648376464844,60.519927978515625,16.581172943115234,28.40584945678711,10.694772720336914,6.1437907218933105
22,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00043.mp4,1,1189.6953125,347.4358215332031,128.13438415527344,35.04566955566406,21.115703582763672,6.400000095367432
23,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00044.mp4,1,11427.201171875,747.1526489257812,189.1213836669922,20.04290199279785,22.56616973876953,5.199999809265137
24,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00046.mp4,1,887.5756225585938,229.36126708984375,183880.609375,59.622802734375,334.7127380371094,5.066666603088379
25,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00047.mp4,1,500.20538330078125,7.766158103942871,51.518226623535156,18.104318618774414,9.868871688842773,4.266666889190674
26,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00048.mp4,1,18942340.0,18942.33984375,141313328.0,9007081.0,77996.0078125,5.733333110809326
27,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00049.mp4,1,837.4208984375,24.12150764465332,154.2491912841797,37.6072883605957,40.80826950073242,3.879598617553711
28,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00054.mp4,1,6466713.5,6466.71240234375,287742144.0,25179226.0,68844.2109375,5.333333492279053
29,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00055.mp4,1,751.4216918945312,38.19892883300781,896.0475463867188,43.95415115356445,178.0394287109375,3.200000047683716
30,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00056.mp4,1,4554.54296875,2188.41455078125,5243.375,176.48695373535156,325.01580810546875,5.733333110809326
31,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00057.mp4,1,115.95084381103516,39.49696731567383,14.572362899780273,12.157279014587402,6.17168664932251,4.933333396911621
32,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00058.mp4,1,1027.415771484375,72.83726501464844,26.723848342895508,14.167072296142578,4.829391002655029,4.967320442199707
33,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00059.mp4,1,533.257080078125,54.40254592895508,226.3582000732422,97.44468688964844,12.910146713256836,4.800000190734863
34,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00060.mp4,1,86958328.0,2659.18359375,33281392.0,50958956.0,16323.314453125,4.705882549285889
35,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00061.mp4,1,82.08261108398438,123.78355407714844,1004.8040771484375,60.94953155517578,20.60790252685547,5.199999809265137
36,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00062.mp4,1,701.3496704101562,234.74322509765625,54008.80859375,16185214.0,76.37149047851562,2.0
37,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00063.mp4,0,201.61756896972656,4.23580265045166,183.709716796875,14.348770141601562,10.226902961730957,2.5333333015441895
38,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00064.mp4,0,10535629.0,10535.6279296875,39188624.0,26586416.0,32880.2890625,3.7333333492279053
39,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00065.mp4,1,309.4346923828125,36.757591247558594,31.134050369262695,9.129222869873047,18.60308265686035,4.933333396911621
40,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00066.mp4,1,4161690.25,4161.689453125,122822672.0,1.0,97011.2890625,4.682274341583252
41,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00068.mp4,1,48.68669509887695,13.487532615661621,85.21495819091797,115.30126190185547,7.185823440551758,4.800000190734863
42,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00071.mp4,0,564.69189453125,168.04638671875,53.279109954833984,20.60367202758789,3.925759792327881,3.066666603088379
43,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00072.mp4,1,2570.674560546875,1862.11181640625,56.955177307128906,86.42081451416016,16.03656768798828,5.770491600036621
44,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00074.mp4,1,1178.5924072265625,14.328431129455566,1371.59619140625,17.102195739746094,36.74837112426758,4.666666507720947
45,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00076.mp4,1,1831.3701171875,204.41110229492188,1224.7384033203125,19.32837677001953,77.92230224609375,2.6666667461395264
46,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00077.mp4,1,1926.836669921875,352.2796325683594,125.07185363769531,110.58235931396484,19.263212203979492,5.252525329589844
47,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00078.mp4,1,2054.267578125,32.81615447998047,491.64910888671875,40.193389892578125,25.1390380859375,4.800000190734863
48,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00079.mp4,0,226.58547973632812,49.070220947265625,31.040624618530273,20.69965934753418,4.757937908172607,5.199999809265137
49,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00081.mp4,1,49343.640625,11439.40234375,2595.120849609375,15.725394248962402,21.48850440979004,5.066666603088379
50,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00083.mp4,1,717715.1875,717.7141723632812,98319544.0,17896828.0,3675.838623046875,4.5333333015441895
51,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00084.mp4,1,1122.1971435546875,378.097412109375,337.4190673828125,30.910808563232422,45.46175765991211,4.44444465637207
52,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00085.mp4,1,30052.455078125,6780.47265625,455.748046875,123520144.0,70.36288452148438,6.800000190734863
53,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00086.mp4,1,1473.2052001953125,20.145450592041016,261.9405822753906,83.23198699951172,16.419822692871094,4.666666507720947
54,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00089.mp4,1,63906344.0,33576.58203125,165186528.0,146862400.0,87670.3046875,4.81605339050293
55,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00093.mp4,1,1.0,0.0,1.0,1.0,1.0,2.0
56,data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00095.mp4,1,12430.8779296875,3632.6025390625,1158.8427734375,186.32115173339844,25.712190628051758,6.133333206176758
