time,frame_idx,dx,dy,theta,theta_px,scale,scale_delta,shear,inlier_ratio,fit_error,num_tracks,num_inliers,x_path,y_path,theta_path,x_res,y_res,theta_res,theta_res_px,vx,vy,vtheta,vtheta_px,ax,ay,atheta,atheta_px,jerk_x,jerk_y,jerk_theta,jerk_theta_px,shake_energy,jerk_energy,valid
0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5276018221343232,0.6888073882191195,-0.0009619822650940545,-0.6156686496601949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0638924696411336,0.0,1.0
0.033333335,1,-1.7137928515822907,-1.4643644193954284,0.00035172525584955145,0.22510416374371292,1.0056567343506395,0.005656734350639514,0.0,0.802646085997795,0.5457359552383423,907.0,728.0,-1.7137928515822907,-1.4643644193954284,0.00035172525584955145,-0.31818448538522803,0.22256853180455516,-0.0012032221799033872,-0.7700621951381679,-0.8457863075195512,-0.4662388564145643,-0.00024123991480933275,-0.15439354547797296,-0.8457863075195512,-0.4662388564145643,-0.00024123991480933275,-0.15439354547797296,-0.8457863075195512,-0.4662388564145643,-0.00024123991480933275,-0.15439354547797296,0.8624232733817608,0.9780442301366419,1.0
0.06666667,2,-0.9419063006952795,-1.139576596913078,0.0008061893001844921,0.5159611521180749,1.0035606469733027,0.003560646973302717,0.0,0.8645374449339207,0.5825093984603882,908.0,785.0,-2.6556991522775704,-2.6039410163085064,0.0011579145560340436,-0.30109941829120235,0.09600033133502439,-0.0008128992190282955,-0.5202555001781091,0.017085067094025685,-0.12656820046953077,0.00039032296087509175,0.24980669496005872,0.8628713746135769,0.33967065594503354,0.0006315628756844245,0.4042002404380317,1.708657682133128,0.8059095123595978,0.0008728027904937573,0.5585937859160046,0.6087221934325291,1.9700325465555675,1.0
0.1,3,-1.0867340024777326,-1.3242853823821983,0.0009797655380177656,0.62704994433137,1.0046565921362698,0.004656592136269788,0.0,0.9052863436123348,0.5827959775924683,908.0,822.0,-3.742433154755303,-3.928226398690705,0.002137680094051809,-0.34284979179833197,-0.1999935948247007,-8.607015193577965e-05,-0.05508489723889898,-0.04175037350712962,-0.2959939261597251,0.0007268290670925158,0.4651706029392101,-0.05883544060115531,-0.16942572569019432,0.00033650610621742405,0.2153639079791514,-0.9217068152147322,-0.5090963816352279,-0.00029505676946700045,-0.1888363324588803,0.4007215537139052,1.0697577947665944,1.0
0.13333334,4,-1.1223657583298279,-1.2869952746489948,0.0007595522807216423,0.48611345966185104,1.0050875546429212,0.00508755464292121,0.0,0.8997722095671982,0.592353880405426,878.0,790.0,-4.864798913085131,-5.2152216733397,0.0028972323747734514,-0.3392322225215274,-0.44301412715605526,0.0005693065632794317,0.36435620049883627,0.0036175692768045664,-0.24302053233135457,0.0006553767152152113,0.41944109773773525,0.04536794278393419,0.05297339382837052,-7.145235187730448e-05,-0.04572950520147487,0.1042033833850895,0.22239911951856484,-0.00040795845809472853,-0.2610934131806263,0.6664048758065061,0.35845429817180613,1.0
0.16666667,5,-1.2044133737838125,-1.2245311861391985,0.0003813586106472009,0.24406951081420858,1.0052640782633762,0.00526407826337616,0.0,0.9275825346112886,0.6094303131103516,939.0,871.0,-6.069212286868943,-6.439752859478899,0.0032785909854206523,-0.341655132607948,-0.6074870585662051,0.0009810815508736873,0.6278921925591598,-0.0024229100864205932,-0.16447293141014985,0.0004117749875942557,0.26353599206032363,-0.00604047936322516,0.07854760092120472,-0.00024360172762095565,-0.15590510567741162,-0.05140842214715935,0.0255742070928342,-0.00017214937574365117,-0.11017560047593675,0.9380924055974036,0.12423980391292054,1.0
0.2,6,-0.959968139897584,-1.0739661283512674,0.000390453225190766,0.24989006412209025,1.0037686979233447,0.003768697923344666,0.0,0.9003250270855905,0.5483309030532837,923.0,831.0,-7.029180426766527,-7.513718987830167,0.0036690442106114183,-0.028618235262648284,-0.6049111934607714,0.001522374132499661,0.9743194447997829,0.3130368973452997,0.002575865105433728,0.0005412925816259736,0.3464272522406231,0.3154598074317203,0.16704879651558358,0.0001295175940317179,0.08289126018029946,0.32150028679494547,0.08850119559437886,0.00037311932165267356,0.23879636585771108,1.1471856588532827,0.4101446091047845,1.0
0.23333333,7,-1.151461924365198,-0.9315904670596146,-0.00032988329821241163,-0.21112531085594344,1.0042499361632338,0.0042499361632337695,0.0,0.9079956188389924,0.5045189261436462,913.0,829.0,-8.180642351131725,-8.445309454889781,0.0033391609123990065,0.15894688861525985,-0.4430757020197902,0.0014495842072452785,0.9277338926369783,0.18756512387790814,0.1618354914409812,-7.278992525438241e-05,-0.046585552162804744,-0.12547177346739158,0.15925962633554747,-0.000614082506880356,-0.39301280440342784,-0.4409315808991119,-0.007789170180036109,-0.0007436001009120739,-0.4759040645837273,1.0403222417444327,0.6488189338279179,1.0
0.26666668,8,-0.9640041589233596,-0.6313125360158923,-0.0005125494640516012,-0.3280316569930248,1.0030474982081303,0.003047498208130328,0.0,0.8015184381778742,0.40735146403312683,922.0,739.0,-9.144646510055084,-9.076621990905673,0.0028266114483474053,0.5949992263899588,0.03632191182504663,0.0012862131697091946,0.8231764286138845,0.436052337774699,0.4793976138448368,-0.00016337103753608388,-0.10455746402309368,0.24848721389679085,0.3175621224038556,-9.058111228170147e-05,-0.05797191186028894,0.3739589873641824,0.15830249606830815,0.0005235013945986545,0.3350408925431389,1.0163477718324498,0.5264574096429877,1.0
0.3,9,-1.404300251168041,-1.009276021549564,-0.0005185106823760457,-0.3318468367206692,1.0046515906624682,0.00465159066246823,0.0,0.9390519187358917,0.5538252592086792,886.0,832.0,-10.548946761223124,-10.085898012455237,0.0023081007659713597,0.6467923578296624,0.15544045781259186,0.0011947970044408217,0.7646700828421259,0.051793131439703544,0.11911854598754523,-9.141616526837297e-05,-0.0585063457717587,-0.38425920633499544,-0.3602790678572916,7.195487226771091e-05,0.04605111825133498,-0.6327464202317863,-0.6778411902611472,0.00016253598454941238,0.10402303011162392,1.0135198200655111,0.9330902969833053,1.0
